particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 834106858221,2018-12-07,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,58416.373535
Net settlement  for  NSE-Equity with settlement number: 2018232,2018-12-10,NSE-EQ - Z,Book Voucher,0.000000,105873.411484,164289.785019
Net settlement for  BSE-Equity with settlement number: 1819174,2018-12-10,BSE-EQ - Z,Book Voucher,6983.403485,0.000000,157306.381534
Net settlement  for  NSE-Equity with settlement number: 2018233,2018-12-11,NSE-EQ - Z,Book Voucher,5647.472369,0.000000,151658.909165
Net settlement for  BSE-Equity with settlement number: 1819175,2018-12-11,BSE-EQ - Z,Book Voucher,4498.700535,0.000000,147160.208630
Net settlement  for  NSE-Equity with settlement number: 2018234,2018-12-12,NSE-EQ - Z,Book Voucher,16710.677772,0.000000,130449.530858
DP Charges for 10/12/2018,2018-12-12,NSE-EQ - Z,Journal Entry,15.930000,0.000000,130433.600858
Net settlement  for  NSE-Equity with settlement number: 2018235,2018-12-13,NSE-EQ - Z,Book Voucher,9962.456930,0.000000,120471.143928
DP Charges for 11/12/2018,2018-12-13,NSE-EQ - Z,Journal Entry,15.930000,0.000000,120455.213928
Net settlement  for  NSE-Equity with settlement number: 2018236,2018-12-14,NSE-EQ - Z,Book Voucher,27819.152877,0.000000,92636.061051
Net settlement  for  NSE-Equity with settlement number: 2018237,2018-12-17,NSE-EQ - Z,Book Voucher,14108.946263,0.000000,78527.114788
Net settlement  for  NSE-Equity with settlement number: 2018238,2018-12-18,NSE-EQ - Z,Book Voucher,40959.819782,0.000000,37567.295006
Net settlement for  BSE-Equity with settlement number: 1819180,2018-12-18,BSE-EQ - Z,Book Voucher,3103.219190,0.000000,34464.075816
Net settlement  for  NSE-Equity with settlement number: 2018239,2018-12-19,NSE-EQ - Z,Book Voucher,25325.378909,0.000000,9138.696907
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 835321422272,2018-12-19,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,59138.696907
Net settlement  for  NSE-Equity with settlement number: 2018241,2018-12-21,NSE-EQ - Z,Book Voucher,91342.185255,0.000000,-32203.488348
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 835512372919,2018-12-21,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,17796.511652
Net settlement  for  NSE-Equity with settlement number: 2018242,2018-12-24,NSE-EQ - Z,Book Voucher,0.000000,39426.389580,57222.901232
Net settlement for  BSE-Equity with settlement number: 1819185,2018-12-26,BSE-EQ - Z,Book Voucher,0.000000,11533.983237,68756.884469
Net settlement  for  NSE-Equity with settlement number: 2018243,2018-12-26,NSE-EQ - Z,Book Voucher,0.000000,23838.671028,92595.555497
DP Charges for 24/12/2018,2018-12-27,NSE-EQ - Z,Journal Entry,15.930000,0.000000,92579.625497
DP Charges for 24/12/2018,2018-12-27,NSE-EQ - Z,Journal Entry,15.930000,0.000000,92563.695497
DP Charges for 26/12/2018,2018-12-28,BSE-EQ - Z,Journal Entry,31.860000,0.000000,92499.975497
DP Charges for 26/12/2018,2018-12-28,NSE-EQ - Z,Journal Entry,31.860000,0.000000,92531.835497
DP Charges for 26/12/2018,2018-12-28,NSE-EQ - Z,Journal Entry,47.790000,0.000000,92452.185497
DP Charges for 26/12/2018,2018-12-28,NSE-EQ - Z,Journal Entry,31.860000,0.000000,92420.325497
Net settlement  for  NSE-Equity with settlement number: 2018245,2018-12-28,NSE-EQ - Z,Book Voucher,73320.377776,0.000000,19099.947721
Net settlement  for  NSE-Equity with settlement number: 2019001,2019-01-01,NSE-EQ - Z,Book Voucher,10874.820585,0.000000,8225.127136
Net settlement  for  NSE-Equity with settlement number: 2019002,2019-01-02,NSE-EQ - Z,Book Voucher,80389.621040,0.000000,-72164.493904
Funds added using payment gateway from ZH5597 with reference number 1610489948,2019-01-02,NSE-EQ - Z,Bank Receipts,0.000000,400000.000000,327835.506096
Being payment gateway charges debited for ZH5597,2019-01-02,NSE-EQ - Z,Journal Entry,10.620000,0.000000,327824.886096
MF purchase by ZH5597 on 1819188,2019-01-03,STARMF - Z,Journal Entry,200000.000000,0.000000,127824.886096
MF purchase by ZH5597 on 1819190,2019-01-07,STARMF - Z,Journal Entry,200000.000000,0.000000,-72175.113904
Funds added using payment gateway from ZH5597 with reference number 1613984950,2019-01-07,NSE-EQ - Z,Bank Receipts,0.000000,400000.000000,327824.886096
Being payment gateway charges debited for ZH5597,2019-01-07,NSE-EQ - Z,Journal Entry,10.620000,0.000000,327814.266096
Net settlement  for  NSE-Equity with settlement number: 2019005,2019-01-07,NSE-EQ - Z,Book Voucher,50951.566959,0.000000,276862.699137
Net settlement  for  NSE-Equity with settlement number: 2019007,2019-01-09,NSE-EQ - Z,Book Voucher,107978.546038,0.000000,168884.153099
MF Redemption for ZH5597 STT-NO: 1819193,2019-01-11,STARMF - Z,Journal Entry,0.000000,400121.500000,569005.653099
MF DP charges for ZH5597 STT-NO: 1819193,2019-01-11,STARMF - Z,Journal Entry,6.490000,0.000000,568999.163099
Net settlement  for  NSE-Equity with settlement number: 2019009,2019-01-11,NSE-EQ - Z,Book Voucher,32203.258807,0.000000,536795.904292
Net settlement for  BSE-Equity with settlement number: 1819198,2019-01-14,BSE-EQ - Z,Book Voucher,3757.263144,0.000000,533038.641148
Net settlement  for  NSE-Equity with settlement number: 2019010,2019-01-14,NSE-EQ - Z,Book Voucher,27031.398276,0.000000,506007.242872
MF purchase by ZH5597 on 1819195,2019-01-14,STARMF - Z,Journal Entry,400000.000000,0.000000,106007.242872
Funds added using payment gateway from ZH5597 with reference number 1620646193,2019-01-15,NSE-EQ - Z,Bank Receipts,0.000000,145000.000000,251007.242872
Being payment gateway charges debited for ZH5597,2019-01-15,NSE-EQ - Z,Journal Entry,10.620000,0.000000,250996.622872
Net settlement  for  NSE-Equity with settlement number: 2019012,2019-01-16,NSE-EQ - Z,Book Voucher,0.000000,14645.964058,265642.586930
Net settlement  for  NSE-Equity with settlement number: 2019014,2019-01-18,NSE-EQ - Z,Book Voucher,0.000000,9278.597625,274921.184555
DP Charges for 16/01/2019,2019-01-18,NSE-EQ - Z,Journal Entry,15.930000,0.000000,274905.254555
Settlement obligation SGB- 181905,2019-01-18,BSE-EQ - Z,Journal Entry,94920.000000,0.000000,179985.254555
Net settlement  for  NSE-Equity with settlement number: 2019015,2019-01-21,NSE-EQ - Z,Book Voucher,0.000000,41138.857632,221124.112187
MF purchase by ZH5597 on 1819201,2019-01-22,STARMF - Z,Journal Entry,100000.000000,0.000000,121124.112187
DP Charges for 18/01/2019,2019-01-22,NSE-EQ - Z,Journal Entry,15.930000,0.000000,121108.182187
DP Charges for 21/01/2019,2019-01-23,NSE-EQ - Z,Journal Entry,15.930000,0.000000,121092.252187
Net settlement  for  NSE-Equity with settlement number: 2019017,2019-01-23,NSE-EQ - Z,Book Voucher,0.000000,14771.955257,135864.207444
Net settlement for  BSE-Equity with settlement number: 1819207,2019-01-25,BSE-EQ - Z,Book Voucher,0.000000,3818.732709,139682.940153
DP Charges for 23/01/2019,2019-01-25,NSE-EQ - Z,Journal Entry,15.930000,0.000000,139667.010153
Net settlement  for  NSE-Equity with settlement number: 2019019,2019-01-25,NSE-EQ - Z,Book Voucher,0.000000,73756.231212,213423.241365
MF purchase by ZH5597 on 1819205,2019-01-28,STARMF - Z,Journal Entry,200000.000000,0.000000,13423.241365
Net settlement  for  NSE-Equity with settlement number: 2019020,2019-01-28,NSE-EQ - Z,Book Voucher,0.000000,43059.687172,56482.928537
Funds added using payment gateway from ZH5597 with reference number 1627454719,2019-01-28,NSE-EQ - Z,Bank Receipts,0.000000,160000.000000,216482.928537
Being payment gateway charges debited for ZH5597,2019-01-28,NSE-EQ - Z,Journal Entry,10.620000,0.000000,216472.308537
Payout of 50000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-01-27,2019-01-28,NSE-EQ - Z,Bank Payments,50000.000000,0.000000,166472.308537
DP Charges for 25/01/2019,2019-01-29,BSE-EQ - Z,Journal Entry,15.930000,0.000000,166456.378537
DP Charges for 25/01/2019,2019-01-29,NSE-EQ - Z,Journal Entry,15.930000,0.000000,166440.448537
DP Charges for 25/01/2019,2019-01-29,NSE-EQ - Z,Journal Entry,47.790000,0.000000,166392.658537
DP Charges for 25/01/2019,2019-01-29,NSE-EQ - Z,Journal Entry,15.930000,0.000000,166376.728537
DP Charges for 25/01/2019,2019-01-29,NSE-EQ - Z,Journal Entry,31.860000,0.000000,166344.868537
Net settlement  for  NSE-Equity with settlement number: 2019021,2019-01-29,NSE-EQ - Z,Book Voucher,0.000000,48202.117690,214546.986227
Payout of 45000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-01-29,2019-01-29,NSE-EQ - Z,Bank Payments,45000.000000,0.000000,169546.986227
DP Charges for 28/01/2019,2019-01-30,NSE-EQ - Z,Journal Entry,31.860000,0.000000,169515.126227
DP Charges for 28/01/2019,2019-01-30,NSE-EQ - Z,Journal Entry,15.930000,0.000000,169499.196227
Net settlement  for  NSE-Equity with settlement number: 2019022,2019-01-30,NSE-EQ - Z,Book Voucher,0.000000,7451.117213,176950.313440
Payout of 78000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-01-30,2019-01-30,NSE-EQ - Z,Bank Payments,78000.000000,0.000000,98950.313440
DP Charges for 29/01/2019,2019-01-31,NSE-EQ - Z,Journal Entry,15.930000,0.000000,98934.383440
DP Charges for 29/01/2019,2019-01-31,NSE-EQ - Z,Journal Entry,15.930000,0.000000,98918.453440
Net settlement  for  NSE-Equity with settlement number: 2019024,2019-02-01,NSE-EQ - Z,Book Voucher,0.000000,28722.679752,127641.133192
DP Charges for 30/01/2019,2019-02-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,127625.203192
DP Charges for 30/01/2019,2019-02-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,127609.273192
DP Charges for 30/01/2019,2019-02-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,127593.343192
Buyback order placement charge for INDIAN OIL CORPORATION LTD,2019-02-04,BSE-EQ - Z,Journal Entry,23.600000,0.000000,127569.743192
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 903520282559,2019-02-04,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,177569.743192
Net settlement  for  NSE-Equity with settlement number: 2019026,2019-02-05,NSE-EQ - Z,Book Voucher,0.000000,4064.204015,181633.947207
MF purchase by ZH5597 on 1819211,2019-02-05,STARMF - Z,Journal Entry,50000.000000,0.000000,131633.947207
MF purchase by ZH5597 on 1819211,2019-02-05,STARMF - Z,Journal Entry,50000.000000,0.000000,81633.947207
MF purchase by ZH5597 on 1819211,2019-02-05,STARMF - Z,Journal Entry,50000.000000,0.000000,31633.947207
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 903609171290,2019-02-05,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,81633.947207
DP Charges for 01/02/2019,2019-02-05,NSE-EQ - Z,Journal Entry,15.930000,0.000000,81618.017207
DP Charges for 01/02/2019,2019-02-05,NSE-EQ - Z,Journal Entry,15.930000,0.000000,81602.087207
DP Charges for 05/02/2019,2019-02-07,NSE-EQ - Z,Journal Entry,15.930000,0.000000,81586.157207
Net settlement  for  NSE-Equity with settlement number: 2019029,2019-02-08,NSE-EQ - Z,Book Voucher,0.000000,15735.937848,97322.095055
Net settlement for buyback with settlement number: 2019007,2019-02-11,BSE-EQ - Z,Book Voucher,3.211162,0.000000,97318.883893
Buyback order placement charge for Oil & Natural Gas Corporation Ltd,2019-02-11,NSE-EQ - Z,Journal Entry,23.600000,0.000000,97295.283893
AMCMF purchase by ZH5597 on 1819215,2019-02-11,STARMF - Z,Book Voucher,25000.000000,0.000000,72295.283893
Net settlement  for  NSE-Equity with settlement number: 2019030,2019-02-11,NSE-EQ - Z,Book Voucher,0.000000,17140.289678,89435.573571
Net settlement  for  NSE-Equity with settlement number: 2019031,2019-02-12,NSE-EQ - Z,Book Voucher,0.000000,4041.805580,93477.379151
DP Charges for 08/02/2019,2019-02-12,NSE-EQ - Z,Journal Entry,15.930000,0.000000,93461.449151
DP Charges for 08/02/2019,2019-02-12,NSE-EQ - Z,Journal Entry,31.860000,0.000000,93429.589151
DP Charges for 08/02/2019,2019-02-12,NSE-EQ - Z,Journal Entry,15.930000,0.000000,93413.659151
DP Charges for 11/02/2019,2019-02-13,NSE-EQ - Z,Journal Entry,47.790000,0.000000,93365.869151
DP Charges for 11/02/2019,2019-02-13,NSE-EQ - Z,Journal Entry,15.930000,0.000000,93349.939151
Net settlement  for  NSE-Equity with settlement number: 2019032,2019-02-13,NSE-EQ - Z,Book Voucher,0.000000,13121.331448,106471.270599
DP Charges for 12/02/2019,2019-02-14,NSE-EQ - Z,Journal Entry,15.930000,0.000000,106455.340599
Buyback order placement charge for TATA INVESTMENT CORPORATION LTD,2019-02-15,BSE-EQ - Z,Journal Entry,23.600000,0.000000,106431.740599
MF purchase by ZH5597 on 1819219,2019-02-15,STARMF - Z,Book Voucher,50000.000000,0.000000,56431.740599
Net settlement  for  NSE-Equity with settlement number: 2019034,2019-02-15,NSE-EQ - Z,Book Voucher,0.000000,1908.050275,58339.790874
DP Charges for 13/02/2019,2019-02-15,NSE-EQ - Z,Journal Entry,15.930000,0.000000,58323.860874
DP Charges for 13/02/2019,2019-02-15,NSE-EQ - Z,Journal Entry,15.930000,0.000000,58307.930874
Net settlement  for  NSE-Equity with settlement number: 2019035,2019-02-18,NSE-EQ - Z,Book Voucher,10517.845652,0.000000,47790.085222
Net settlement  for  NSE-Equity with settlement number: 2019036,2019-02-19,NSE-EQ - Z,Book Voucher,8714.569841,0.000000,39075.515381
DP Charges for 15/02/2019,2019-02-19,NSE-EQ - Z,Journal Entry,15.930000,0.000000,39059.585381
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 905017662983,2019-02-19,NSE-EQ - Z,Bank Receipts,0.000000,40000.000000,79059.585381
Net settlement for buyback with settlement number: 2019016,2019-02-20,BSE-EQ - Z,Book Voucher,126.972907,0.000000,78932.612474
MF purchase by ZH5597 on 1819222,2019-02-20,STARMF - Z,Book Voucher,50000.000000,0.000000,28932.612474
Net settlement  for  NSE-Equity with settlement number: 2019037,2019-02-20,NSE-EQ - Z,Book Voucher,3797.576762,0.000000,25135.035712
Net settlement for buyback with settlement number: 2019013,2019-02-20,NSE-EQ - Z,Book Voucher,205.450254,0.000000,24929.585458
MF Redemption for ZH5597 STT-NO: 1819222,2019-02-21,STARMF - Z,Book Voucher,0.000000,705517.770000,730447.355458
MF DP charges for ZH5597 STT-NO: 1819222,2019-02-21,STARMF - Z,Journal Entry,6.490000,0.000000,730440.865458
Net settlement  for  NSE-Equity with settlement number: 2019038,2019-02-21,NSE-EQ - Z,Book Voucher,7526.436926,0.000000,722914.428532
Payout of 600000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-02-21,2019-02-21,NSE-EQ - Z,Bank Payments,600000.000000,0.000000,122914.428532
Net settlement  for  NSE-Equity with settlement number: 2019039,2019-02-22,NSE-EQ - Z,Book Voucher,0.000000,34638.530536,157552.959068
Net settlement for  BSE-Equity with settlement number: 1819228,2019-02-25,BSE-EQ - Z,Book Voucher,20001.290801,0.000000,137551.668267
Net settlement  for  NSE-Equity with settlement number: 2019040,2019-02-25,NSE-EQ - Z,Book Voucher,478.045188,0.000000,137073.623079
MF purchase by ZH5597 on 1819225,2019-02-25,STARMF - Z,Book Voucher,50000.000000,0.000000,87073.623079
Net settlement  for  NSE-Equity with settlement number: 2019041,2019-02-26,NSE-EQ - Z,Book Voucher,11300.801106,0.000000,75772.821973
DP Charges for 22/02/2019,2019-02-26,NSE-EQ - Z,Journal Entry,15.930000,0.000000,75756.891973
Net settlement  for  NSE-Equity with settlement number: 2019042,2019-02-27,NSE-EQ - Z,Book Voucher,11887.591252,0.000000,63869.300721
Net settlement  for  NSE-Equity with settlement number: 2019043,2019-02-28,NSE-EQ - Z,Book Voucher,11520.915642,0.000000,52348.385079
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 905920776639,2019-02-28,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,102348.385079
Buyback order placement charge for Oil India LTD,2019-03-01,BSE-EQ - Z,Journal Entry,23.600000,0.000000,102324.785079
Net settlement  for  NSE-Equity with settlement number: 2019044,2019-03-01,NSE-EQ - Z,Book Voucher,7857.160025,0.000000,94467.625054
Net settlement for  BSE-Equity with settlement number: 1819232,2019-03-01,BSE-EQ - Z,Book Voucher,10000.651301,0.000000,84466.973753
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 906119321854,2019-03-04,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,134466.973753
Funds added using payment gateway from ZH5597 with reference number 1654229940,2019-03-04,NSE-EQ - Z,Bank Receipts,0.000000,400000.000000,534466.973753
Being payment gateway charges debited for ZH5597,2019-03-04,NSE-EQ - Z,Journal Entry,10.620000,0.000000,534456.353753
Net settlement for  BSE-Equity with settlement number: 1819233,2019-03-05,BSE-EQ - Z,Book Voucher,50003.209303,0.000000,484453.144450
MF purchase by ZH5597 on 1819230,2019-03-05,STARMF - Z,Book Voucher,400000.000000,0.000000,84453.144450
MF purchase by ZH5597 on 1819230,2019-03-05,STARMF - Z,Book Voucher,23600.000000,0.000000,60853.144450
Net settlement  for  NSE-Equity with settlement number: 2019045,2019-03-05,NSE-EQ - Z,Book Voucher,0.000000,7908.163577,68761.308027
Net settlement  for  NSE-Equity with settlement number: 2019047,2019-03-07,NSE-EQ - Z,Book Voucher,0.000000,5729.387554,74490.695581
DP Charges for 05/03/2019,2019-03-07,NSE-EQ - Z,Journal Entry,15.930000,0.000000,74474.765581
AMCMF purchase by ZH5597 on 1819234,2019-03-11,STARMF - Z,Book Voucher,25000.000000,0.000000,49474.765581
Net settlement for buyback with settlement number: 2019023,2019-03-11,BSE-EQ - Z,Book Voucher,2.141252,0.000000,49472.624329
Being payment gateway charges debited for ZH5597,2019-03-11,NSE-EQ - Z,Journal Entry,10.620000,0.000000,49462.004329
Funds added using payment gateway from ZH5597 with reference number 1660416773,2019-03-11,NSE-EQ - Z,Bank Receipts,0.000000,300000.000000,349462.004329
DP Charges for 07/03/2019,2019-03-11,NSE-EQ - Z,Journal Entry,15.930000,0.000000,349446.074329
Payout of 250000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-03-12,2019-03-12,NSE-EQ - Z,Bank Payments,250000.000000,0.000000,99446.074329
Net settlement  for  NSE-Equity with settlement number: 2019051,2019-03-13,NSE-EQ - Z,Book Voucher,0.000000,24150.349501,123596.423830
MF purchase by ZH5597 on 1819238,2019-03-15,STARMF - Z,Book Voucher,50000.000000,0.000000,73596.423830
Net settlement  for  NSE-Equity with settlement number: 2019053,2019-03-15,NSE-EQ - Z,Book Voucher,0.000000,79994.400195,153590.824025
DP Charges for 13/03/2019,2019-03-15,NSE-EQ - Z,Journal Entry,15.930000,0.000000,153574.894025
DP Charges for 13/03/2019,2019-03-15,NSE-EQ - Z,Journal Entry,15.930000,0.000000,153558.964025
Payout of 73000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2019-03-16,2019-03-18,NSE-EQ - Z,Bank Payments,73000.000000,0.000000,80558.964025
DP Charges for 15/03/2019,2019-03-19,NSE-EQ - Z,Journal Entry,9.440000,0.000000,80549.524025
MF purchase by ZH5597 on 1819241,2019-03-20,STARMF - Z,Book Voucher,50000.000000,0.000000,30549.524025
Net settlement  for  NSE-Equity with settlement number: 2019056,2019-03-20,NSE-EQ - Z,Book Voucher,0.000000,26818.113774,57367.637799
Net settlement  for  NSE-Equity with settlement number: 2019057,2019-03-22,NSE-EQ - Z,Book Voucher,0.000000,36029.028626,93396.666425
Settlement Obligation for CPSE ETF,2019-03-22,NSE-EQ - Z,Journal Entry,30000.000000,0.000000,63396.666425
MF purchase by ZH5597 on 1819243,2019-03-25,STARMF - Z,Book Voucher,50000.000000,0.000000,13396.666425
Net settlement  for  NSE-Equity with settlement number: 2019058,2019-03-25,NSE-EQ - Z,Book Voucher,18385.162786,0.000000,-4988.496361
DP Charges for 20/03/2019,2019-03-25,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-5004.426361
DP Charges for 20/03/2019,2019-03-25,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-5020.356361
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 908321104152,2019-03-25,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,44979.643639
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 908323696587,2019-03-25,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,94979.643639
DP Charges for 22/03/2019,2019-03-26,NSE-EQ - Z,Journal Entry,15.930000,0.000000,94963.713639
DP Charges for 22/03/2019,2019-03-26,NSE-EQ - Z,Journal Entry,15.930000,0.000000,94947.783639
Net settlement  for  NSE-Equity with settlement number: 2019060,2019-03-27,NSE-EQ - Z,Book Voucher,22524.583426,0.000000,72423.200213
DP Charges for 25/03/2019,2019-03-27,NSE-EQ - Z,Journal Entry,47.790000,0.000000,72375.410213
DP Charges for 25/03/2019,2019-03-27,NSE-EQ - Z,Journal Entry,31.860000,0.000000,72343.550213
DP Charges for 25/03/2019,2019-03-27,NSE-EQ - Z,Journal Entry,31.860000,0.000000,72311.690213
DP Charges for 25/03/2019,2019-03-27,NSE-EQ - Z,Journal Entry,15.930000,0.000000,72295.760213
Net settlement  for  NSE-Equity with settlement number: 2019061,2019-03-28,NSE-EQ - Z,Book Voucher,0.000000,27048.391638,99344.151851
Net settlement  for  NSE-Equity with settlement number: 2019062,2019-03-29,NSE-EQ - Z,Book Voucher,78799.510048,0.000000,20544.641803
Excess funds reversed for CPSE ETF,2019-03-29,NSE-EQ - Z,Journal Entry,0.000000,5.330000,20549.971803
Annual Maintenance Charge for Demat Account for 2018-2019,2019-03-30,NSE-EQ - Z,Journal Entry,354.000000,0.000000,20195.971803
Funds added using payment gateway from ZH5597 with reference number 1675218709,2019-03-31,NSE-EQ - Z,Bank Receipts,0.000000,480000.000000,500195.971803
Being payment gateway charges debited for ZH5597,2019-03-31,NSE-EQ - Z,Journal Entry,10.620000,0.000000,500185.351803
MF purchase by ZH5597 on 1920001,2019-04-01,STARMF - Z,Book Voucher,400000.000000,0.000000,100185.351803
DP Charges for 28/03/2019,2019-04-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,100169.421803
Net settlement  for  NSE-Equity with settlement number: 2019063,2019-04-01,NSE-EQ - Z,Book Voucher,56910.954350,0.000000,43258.467453
Net obligation for NSE Equity F&O,2019-04-03,NSE-F&O - Z,Book Voucher,1554.711601,0.000000,41703.755852
Funds added using payment gateway from ZH5597 with reference number 1677393749,2019-04-03,NSE-EQ - Z,Bank Receipts,0.000000,150000.000000,191703.755852
Being payment gateway charges debited for ZH5597,2019-04-03,NSE-EQ - Z,Journal Entry,10.620000,0.000000,191693.135852
