UNDERLYING                          ,SYMBOL    ,25-Nov
NESTLE INDIA LIMITED                ,NESTLEIND ,500
NUVAMA WEALTH MANAGE LTD            ,NUVAMA    ,75
LTIMINDTREE LIMITED                 ,LTIM      ,150
FSN E COMMERCE VENTURES             ,NYKAA     ,3125
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,75
OIL AND NATURAL GAS CORP.           ,ONGC      ,2250
PAGE INDUSTRIES LTD                 ,PAGEIND   ,15
MAZAGON DOCK SHIPBUIL LTD           ,MAZDOCK   ,175
PERSISTENT SYSTEMS LTD              ,PERSISTENT,100
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON ,6150
COMPUTER AGE MNGT SER LTD           ,CAMS      ,150
CYIENT LIMITED                      ,CYIENT    ,425
PG ELECTROPLAST LTD                 ,PGEL      ,700
COFORGE LIMITED                     ,COFORGE   ,375
CROMPT GREA CON ELEC LTD            ,CROMPTON  ,1800
PNB HOUSING FIN LTD.                ,PNBHOUSING,650
POLYCAB INDIA LIMITED               ,POLYCAB   ,125
DIVI S LABORATORIES LTD             ,DIVISLAB  ,100
PIRAMAL PHARMA LIMITED              ,PPLPHARMA ,2500
DIXON TECHNO (INDIA) LTD            ,DIXON     ,50
PRESTIGE ESTATE LTD                 ,PRESTIGE  ,450
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,500
STEEL AUTHORITY OF INDIA            ,SAIL      ,4700
SAMMAAN CAPITAL LIMITED             ,SAMMAANCAP,4300
PATANJALI FOODS LIMITED             ,PATANJALI ,900
EICHER MOTORS LTD                   ,EICHERMOT ,175
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,825
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,1800
FEDERAL BANK LTD                    ,FEDERALBNK,5000
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,350
SYNGENE INTERNATIONAL LTD           ,SYNGENE   ,1000
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,550
DLF LIMITED                         ,DLF       ,825
HAVELLS INDIA LIMITED               ,HAVELLS   ,500
TATA TECHNOLOGIES LIMITED           ,TATATECH  ,800
TATA CONSULTANCY SERV LT            ,TCS       ,175
REC LIMITED                         ,RECLTD    ,1275
TECH MAHINDRA LIMITED               ,TECHM     ,600
TITAN COMPANY LIMITED               ,TITAN     ,175
HERO MOTOCORP LIMITED               ,HEROMOTOCO,150
TRENT LTD                           ,TRENT     ,100
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,175
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,50
UNION BANK OF INDIA                 ,UNIONBANK ,4425
HINDUSTAN ZINC LIMITED              ,HINDZINC  ,1225
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,375
YES BANK LIMITED                    ,YESBANK   ,31100
IIFL FINANCE LIMITED                ,IIFL      ,1650
INDIAN BANK                         ,INDIANB   ,1000
STATE BANK OF INDIA                 ,SBIN      ,750
HFCL LIMITED                        ,HFCL      ,6450
JINDAL STEEL LIMITED                ,JINDALSTEL,625
SUZLON ENERGY LIMITED               ,SUZLON    ,8000
TATA POWER CO LTD                   ,TATAPOWER ,1450
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,1250
TATA STEEL LIMITED                  ,TATASTEEL ,5500
INDIAN ENERGY EXC LTD               ,IEX       ,3750
KAYNES TECHNOLOGY IND LTD           ,KAYNES    ,100
KEI INDUSTRIES LTD.                 ,KEI       ,175
UPL LIMITED                         ,UPL       ,1355
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000
VEDANTA LIMITED                     ,VEDL      ,1150
MAX HEALTHCARE INS LTD              ,MAXHEALTH ,525
MARICO LIMITED                      ,MARICO    ,1200
MAX FINANCIAL SERV LTD              ,MFSL      ,400
NHPC LTD                            ,NHPC      ,6400
MPHASIS LIMITED                     ,MPHASIS   ,275
NMDC LTD.                           ,NMDC      ,6750
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,375
PETRONET LNG LIMITED                ,PETRONET  ,1800
HINDUSTAN AERONAUTICS LTD           ,HAL       ,150
OIL INDIA LTD                       ,OIL       ,1400
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100
PUNJAB NATIONAL BANK                ,PNB       ,8000
PB FINTECH LIMITED                  ,POLICYBZR ,350
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,9275
SIEMENS LTD                         ,SIEMENS   ,125
SBI CARDS & PAY SER LTD             ,SBICARD   ,800
SOLAR INDUSTRIES (I) LTD            ,SOLARINDS ,75
SONA BLW PRECISION FRGS L           ,SONACOMS  ,1050
INDUSIND BANK LIMITED               ,INDUSINDBK,700
TORRENT POWER LTD                   ,TORNTPOWER,375
TITAGARH RAIL SYSTEMS LTD           ,TITAGARH  ,725
LIFE INSURA CORP OF INDIA           ,LICI      ,700
VOLTAS LTD                          ,VOLTAS    ,375
OBEROI REALTY LIMITED               ,OBEROIRLTY,350
POWER FIN CORP LTD.                 ,PFC       ,1300
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,250
HITACHI ENERGY INDIA LTD            ,POWERINDIA,50
RAIL VIKAS NIGAM LIMITED            ,RVNL      ,1375
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,625
UNO MINDA LIMITED                   ,UNOMINDA  ,550
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,925
THE PHOENIX MILLS LTD               ,PHOENIXLTD,350
LODHA DEVELOPERS LIMITED            ,LODHA     ,450
MANKIND PHARMA LIMITED              ,MANKIND   ,225
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,1050
WIPRO LTD                           ,WIPRO     ,3000
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,1000
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,50
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,250
VODAFONE IDEA LIMITED               ,IDEA      ,71475
